category,quote,quote_speaker
اندیشه," افكار ما همانند درختان نارنج در گلدان نگهداري مي شوند و به نسبت بزرگي گلداني كه ريشه هاي آنها را در خود دارد، رشد مي كنند.",بولور
اندیشه, شما همان مي شويد كه درباره اش فكر مي كنيد.,برايان تريسي
اندیشه, ذهن به هر حال خالي نمي ماند؛ آن را با افكار مثبت پر كنيد تا پريشاني و نگراني در آن جاي نگيرد.,برايان تريسي
اندیشه, ذهن و انديشه مسئول به خطا افتادن بشر است.,نيچه
اندیشه," انديشه و سخن ريش سفيدان، برآيند بردباري، مردم داري و سرد و گرم چشيدگي روزگار است.",اُرد بزرگ
اندیشه," چهارچوب نگاه ما زميني است، اما برآيند انديشه ما جنبه آسماني نيز پيدا مي كند.",اُرد بزرگ
اندیشه," با انديشه آشفته دانش آموختن، در گردباد آتش افروختن است.",رومارسس
اندیشه, آنچه اكنون هستيم نتيجه افكار ما تا امروز است.,برايان تريسي
اندیشه," سرنوشت آينده ما از كوشش جسمي ما نيست، از طرز فكرها و ديدگاه هاي ما است.",برايان تريسي
اندیشه, با افكاري كه براي شما محدوديت ايجاد مي كنند به مقابله برخيزيد. بسياري از آنها هرگز درست نيستند.,برايان تريسي
اندیشه, آرامش فكري را بالاترين هدف زندگي خويش قرار دهيد و بر اساس آن براي زندگي خود برنامه ريزي كنيد.,برايان تريسي
اندیشه," نحوه افكار و انديشه هاي انسان به گونه اي است كه امكان دارد تنها خواندن يك كتاب، پايه انديشه ها و افكار او را بر مبناي جديد يا در مسير خاص قرار دهد و چه بسا ممكن است كتابي، مسير سرنوشت ميليونها انسان را در جاده مخصوصي بيندازد.",آلبرت انيشتين
اندیشه, نابغه كسي است كه پيوسته افكارش را از قوه به فعل در مي آورد.,اونوره دو بالزاك
اندیشه, دانايان با عمل زندگي مي كنند نه با انديشه عمل.,كارلوس كاستاندا
اندیشه," زندگي شما بازتاب افكارتان است؛ اگر افكارتان را تغيير دهيد، زندگي شما دگرگون مي شود.",برايان تريسي
اندیشه," انديشيدن، دشوارترين كارها است؛ شايد به اين دليل است كه كمتر كسي زحمت آن را به خود مي دهد.",هنري فورد
اندیشه," جايي كه انديشه ي تو هست، تجربه ي تو نيز هست؛ انسان همان گونه است كه مي انديشد؛ از هرچه كه مي ترسم به سرم مي آيد.",ريچارد باخ
اندیشه," خوب انديشيدن آن است كه ما از مدل و نمونه ي كوچك داخلي دنياي وجود خودمان بر اساس دنياي بزرگ و حقيقي، تصوير درست و روشني كه سزاوار وجود خود ما است بسازيم.",آندره موروا
اندیشه," نگران كننده ترين چيز در دنيا آن است كه مغز آدمي پر از انديشه ها و احساس ها باشد، اما نتواند آنها را با هم جفت و مرتبط سازد.",هرودوت
اندیشه," اين انديشه كه در جايي هنري خالص و به كلي جدا از زندگي يا دنيايي وجود داشته باشد كه تشنگي ذاتي چشم را برآورد، بدون آنكه تاييد و كمكي از ذهن يا حافظه بخواهد، مسلماً پذيرفتني نيست.",اريك نيوتن
اندیشه," شايد در اين انديشه باشم كه شايسته ي موقعيت بهتري هستم، اما كردارهايم نشان مي دهند كه گاهي اوقات به راستي به اين مسئله باور ندارم.",اسپنسر جانسون
اندیشه," روي نيازهاي واقعي خودت متمركز شو، از گزينه هايت آگاه باش و به طور كامل، درباره ي همه ي گزينه هايت انديشه كن؛ سپس بگذار كه بهترين نتايج به آسودگي به سوي تو بيايند.",اسپنسر جانسون
اندیشه,"  هر بشري مي تواند در ژرفاي انديشه ي خود پناهگاهي بسازد و در آن جاي امن، هر گلوله ي سنگين و گران و هر سخن نابجا و نيشدار و مسمومي را ناچيز شمرد.",آندره موروا
اندیشه," انديشه و هوش بايد همان گونه كه درخت دبق بر جاي درخت بلوط مرده مي رويد، به روي پيري و كهولت گل فشاني كند.",مونتني
اندیشه," به هر انديشه و هوش و ادراكي، غذاي ويژه ي خودش را بايد تجويز كرد كه مطابق با اشتهاي آن انديشه باشد.",آندره موروا
اندیشه," انديشيدن آسان است و عمل كردن، سخت و دشوار. عمل كردن به دنبال انديشه و نقشه و از روي تعمق و انديشه پيدا كردن اش در جهان بسيار دشوار است.",گوته
اندیشه, اين انديشنده نياز به كسي ندارد كه رد و انكارش كند؛ وجود خودش براي اين كار كفايت مي كند.,نيچه
اندیشه," چگونه مي تواند كسي انديشمند شود، اگر دست كم يك سوم هر روزش را به دور از غوغا و شور، بي آدميان و كتابها سر نكند؟",نيچه
باور, اگر تو باوري داشته باشي دست از جست و جو برمي داري؛ اگر باوري داشته باشي گمان مي كني كه از قبل مي داني.,اشو
باور, هر وقت مي بينم مردم در امري با من هم عقيده اند يقين مي كنم كه در آن خصوص به خطا رفته ام.,لاروشفوكو
باور," باور چيست؟ از كجا سرچشمه مي گيرد؟ هر باور، چيزي را حقيقي انگاشتن است.",نيچه
باور, انسان براي برخورداري از شادي بايد خودش را باور كند.,توماس پاين
باور," من هميشه باور داشته ام كه در طبيعت، زيباتر از زن وجود ندارد.",گابريل گارسيا ماركز
باور," شما نمي توانيد با تنفر داشتن از ديگري خودتان را به خدا نزديكتر كنيد، چه باور داشته باشيد كه اين خشمي بجاست و يا نه. رابطه ميان روح - كه شما هستيد - و خدا بر اساس عشق است و جايي كه عشقي پاك هست، هيچ جايي براي هيچ نوع خشمي وجود ندارد.",سري هارولد كلمپ
باور," هنگامي كه فيلسوفي بر اين باور است كه مدام حواس انساني او را مي فريبد، فيلسوف ديگري سوگند ياد مي كند كه هرگز حواس ما را نفريفته است.",لافونتن
باور," شاعران همه باور دارند كه هر گاه كسي بر چمن يا بر دامنه اي خلوت دراز بكشد و گوش كند، از آن چيزهايي كه در ميان زمين و آسمان است چيزي دستگيرش نخواهد شد.",نيچه
باور, خوش بين باشيد اما خوش بين دير باور.,ساموئل اسمايلز
باور, وقتي باور داري كه مي تواني حتما مي تواني!.,ماكسول مالتز
باور, باور خود را در عملكردتان پياده كنيد.,رالف والدو امرسون
باور," اگر باور داري كه احساس بد يا نگراني زياد، در آنچه در گذشته اتفاق افتاده يا در آينده رخ مي دهد تغييري ايجاد مي كند، بدان كه گويي بر روي اين كره زندگي نمي كني و از واقعيت هاي آن سر در نمي آوري.",وين داير
باور, اهل بازار بر اين باور اشتباهند كه فرهنگ را هم مي توان با زمان بندي دگرگون ساخت!,ارد بزرگ
باور, من به اين مسأله باور راسخ  دارم كه تنها يك راه براي رهايي از شر سرمايه داري وجود دارد: برقراري اقصاد ِ سوسياليستي به ياري آموزش و پرورشي درخور ِ تحقق اهداف سوسياليستي. در چنين ساختاري ابزار توليد و فرآورده هاي آن به كل جامعه تعلق داشته و مصرف آن نيز طبق برنامه خواهد بود.,آلبرت انيشتين
باور," شايد بتوان از هجوم سيل آساي يك ارتش ممانعت كرد، اما از هجوم انديشه ها و باورها نمي توان جلوگيري نمود.",ويكتور هوگو
باور," هر آنچه كه بايد، انجام بده و به تحقق آرزوهايت ايمان داشته باش؛ هر آنچه كه باشند.",گوته
باور, با حقيقت و با ايمان به آن چيزي كه بر روي صحنه انجام مي دهيد در تماشاگر نفوذ كنيد.,استانيسلاوسكي
باور," كساني كه به تواناييهاي خود باور دارند، به كارهاي دشوار به ديده ي چالش هايي مي نگرند كه بايد بر آنها پيروز شوند نه به شكل تهديدهايي كه بايد از آنها دوري گزينند.",آلبرت بندورا
باور," من باور دارم كه دو انسان از قلبشان به هم متصلند و مهم نيست كه چه كار مي كنيد، كه هستيد و كجا زندگي مي كنيد؛ اگر مقدر شده كه دو نفر با هم باشند، هيچ مرز و مانعي بين آنها وجود نخواهد داشت.",جوليا رابرتز
باور, به آرزوهاي خود ايمان بياوريد و به گونه اي به آنها بينديشيد كه گويي به زودي رخ مي دهند.,ارد بزرگ
باور," ما در بين كساني كه با ما هم عقيده اند، احساس آرامش داريم، اما زماني بزرگ مي شويم كه در بين كساني باشيم كه با ما هم عقيده نباشند.",فرانك
باور, ايمان و باور ما در ابتداي هر مسئوليت دشواري تنها عاملي است كه موفقيت نهايي مان را تضمين مي كند.,ويليام جيمز
باور," من خداوند را باور دارم، مشكل اينجا است كه آيا او هم مرا باور دارد؟!",أوله پأئوسه
باور," افراطي ترين صورت هيچ انگاري مي تواند اين ديدگاه باشد كه همه باورها؛ همه چيزي را حقيقي انگاشتن ها، لزوماً به خطا مي روند؛ به اين علت ساده كه هيچ دنياي حقيقي در كار نيست. چنين است يك ظاهر دورنمايي كه از درون ما سرچشمه گرفته است.",نيچه
باور," وعده ها را باور نداشته باش، چون دنيا پر از وعده است.",پائولو كوئيلو
باور, جهان فقط چيزهايي را به ما مي دهد كه باور داريم مي توانيم داشته باشيم.,چوپرا
باور," مادام كه خود را باور داريد، مي دانيد چگونه زندگي كنيد.",گوته
باور," هيچ كس با هدف باختن، هيچ كاري را آغاز نمي كند. مشكل بيشتر پذيرفتن اين باور نادرست است كه زماني فرا مي رسد كه ناگهان موفقيت ارزانتر از گذشته به دست خواهد آمد؛ اما به طور رايج، زندگي اين گونه عمل نمي كند.",جان ماكسول
باور," اين باور كه يك شخص مي تواند به تنهايي كار بزرگي انجام دهد، افسانه اي بيش نيست.",جان ماكسول
باور, جوهر عرفان چيزي نيست جز گونه اي قوت و عمق احساس نسبت به باورهايي كه انسان درباره ي جهان دارد.,برتراند راسل
باور, ما متوجه خواهيم شد كه محكمترين و تعصب آميزترين باورهاي ما آنهايي هستند كه كمترين دليل ها براي درستي شان در دست است.,برتراند راسل
باور," جنگِ بر حق؛ موافق نيستم. به باور من، جنگ يا ضروري است يا غير ضروري؛ جنگ بر ضد هيتلر ضروري بود، اما بر ضد ويتنام لزومي نداشت.",ريچارد رورتي
باور, چه كسي كه حقيقت را جستجو مي كند باور داشته باش و به كسي كه مدعي دستيابي به حقيقت است شك كن.,آندره ژيد
پیروزی," بهاي شكست بيشتر از بهاي پيروزي است. بهاي شكست، فقر، افسردگي، نااميدي و روحيه ي رنج كشيده است.",ويرجيل بري
پیروزی," اگر كسي با اطمينان به سمت روياهايش به پيش برود و بكوشد تا آنچنان زندگي كند كه هميشه تصورش را كرده است، با چنان موفقيتي به آنها خواهد رسيد كه در زمانهاي عادي، دست نايافتني به نظر مي رسد.",هنري تورئو
پیروزی, پيروزي هاي كوچك به اعضاي كم استعدادتر تيم كمك خواهد كرد تا اطمينان كسب كرده و موفق شوند.,جان ماكسول
پیروزی," موفقيت، نتيجه ي تشخيص درست است؛ تشخيص درست، نتيجه ي تجربه است؛ تجربه نيز اغلب نتيجه ي تشخيص نادرست است.",آنتوني رابينز
پیروزی, دقت و احتياط هر دو لازمند...اولي براي رسيدن به پيروزي و دومي براي نگاهداري آن.,الكساندر دوما
پیروزی," اين خواست خداوند است كه آرزوي درست دل هر انساني را برآورد. چه بسيار پيش آمده كه آدمي با ديدن عيبهاي خودش در ديگران شفا يافته است. موفقيت پيش رفتن است، نه به پايان رسيدن.",آنتوني رابينز
پیروزی," آرامش و اطمينان، بهترين موفقيت است.",اوستن
پیروزی," به دست آوردن خوشبختي، بزرگترين پيروزي زندگي است.",آلبركامو
پیروزی, سه جمله براي دستيابي به موفقيت: 1) بيشتر از ديگران بدان 2) بيشتر از ديگران كار كن 3) كمتر از ديگران توقع داشته باش.,ويليام شكسپير
پیروزی," رمز پيروزي در دانش و توانمندي نهفته است، نه در بخت و اقبال.",مايكل همر
پیروزی," اگر در كارتان موفق نيستيد، پدر و مادر خود را سرزنش نكنيد، از ناليدن دست بكشيد و از خطاهاي خود درس بگيريد.",بيل گيتس
پیروزی, كليد موفقيت در نگه داشتن حد و اندازه براي هر چيز است.,آنتوني رابينز
پیروزی, اگر به دنبال موفقيت نرويد خودش به دنبال شما نخواهد آمد.,ماروا كلينز
پیروزی," كشف فرصت ها رمز اصلي موفقيت مديران و سازمانها به شمار مي رود؛ زيرا با بهره گيري از فرصتها نتايج سودمندي به دست مي آيد، در حالي كه با حل مسئله فقط وضعيت به شكل عادي باز مي گردد.",پيتر دراكر
پیروزی," پيش از آن كه بالا رفتن از نردبان موفقيت را آغاز كنيد، مطمئن شويد كه نردبان را به ساختمان مناسب تكيه داده ايد.",استفان كاوي
پیروزی," آنان كه در زندگي پيروز و كامياب شده اند، نخست از نظر فكر و روح، پيروز و كامياب بوده اند.",توماس اديسون
پیروزی," افرادي كه موفق هستند، آمادگي تغيير و قابليت انعطاف دارند؛ تا جايي كه بتوانند زندگي دلخواه خود را فراهم نمايند.",آنتوني رابينز
پیروزی," هدفي كه به سوي آن مي رويد و آنچه داريد، معيار حقيقي موفقيت شما نيست. به نظر من، موفقيت، جريان مداومي است كه طي آن، مشتاق و آرزومند موفقيت هاي بيشتري هستيم.",آنتوني رابينز
پیروزی," موفقيت، پيش رفتن است، نه به نقطه ي پايان رسيدن.",آنتوني رابينز
پیروزی," گاهي افرادي به موفقيت هاي بزرگ مي رسند، تنها به اين دليل ساده كه نمي دانند كاري كه به آن دست زده اند، بسيار دشوار، بلكه غير ممكن است.",آنتوني رابينز
پیروزی," مردان بسيار موفق كساني نيستند كه هرگز شكست نمي خورند، بلكه اگر نتيجه ي به دست آمده، با چشم داشت آنها يكسان نبود، از آن درس مي گيرند.",آنتوني رابينز
پیروزی, یكي از كليدهاي موفقيت اين است كه پيوندي سازنده بين كارهايي كه انجام مي دهيم و چيزهايي كه دوست داريم به وجود آوريم.,آنتوني رابينز
پیروزی," هر موفقيت، آثاري از خود بر جاي مي گذارد؛ اين ردپاها را دنبال كنيد.",آنتوني رابينز
پیروزی," شرط اصلي موفقيت در تمام مراحل زندگي، داشتن سه چيز است : اول پول، دوم پول و سوم پول.",ناپلئون بناپارت
پیروزی," به جاي اينكه سعي كنيد مرد موفقيت باشيد، سعي كنيد مرد ارزشها باشيد.",آلبرت انیشتن
پیروزی," اگر فکر مي کنيد که موفق مي شويد يا شکست مي خوريد، در هر دو صورت درست فكر كرده ايد.",آنتوني رابينز
پیروزی," كليد دستيابي به موفقيت بزرگ، پيروزي، احترام و خوشبختي در زندگي اين است كه بتواني ذهنت را تمام و كمال روي مهمترين كار يا هدفي كه داري متمركز كني، آن را درست انجام دهي و تا زماني كه تمام نشده، دست از كار نكشي.",برایان تریسی
پیروزی, پيروزي يعني اراده كردن.,ناپلئون بناپارت
پیروزی," اگر افراد موفق، هم تاثير گذارند و هم كار آمد، به اين دليل است كه هم كارهاي درست را انجام مي دهند و هم كارهايشان را به درستي انجام مي دهند.",برایان تریسی
پیروزی," احساس منفي، ترمز موفقيت ماست؛ ترمزهاي خود را رها كنيد.",برایان تریسی
پیروزی, براي كاميابي همواره بايد چند احساس مثبت در زندگي ما حاكم باشد.,برایان تریسی
پیروزی," تمرين و تكرار زياد در هر زمينه اي، برگ برنده را به دست شما مي دهد.",برایان تریسی
پیروزی, هر موفقيت بزرگي نتيجه هزاران تلاش كوچك و عادي است كه مورد توجه و ستايش ديگران قرار نمي گيرد.,برایان تریسی
پیروزی, انسانهاي واقعاً كامياب كساني هستند كه آنچه را كه به آن نياز دارند دنبال مي كنند.,اسپنسر جانسون
پیروزی," موفقيت هيچ گاه حتمي نيست، بلكه به جمع شدن عوامل فراوان بستگي دارد و از همه بيشتر وابسته به سرشت رواني است كه كاركردش را با جهان بيرون هماهنگ سازد و از آن براي لذت جويي بهره گيرد.",زيگموند فرويد
پیروزی," در مسير هر موفقيت بزرگ، دشواريها و ناكامي هاي بزرگي قرار دارد.",آنتوني رابينز
پیروزی, هيچ پيروزي اي آينده ي ما را در نظر ما مشخص نمي سازد و نمي تواند باعث اعتماد ما به آينده ي دور و درازي باشد.,آندره موروا
پیروزی," کاميابي، يعني پيشروي به سوي هر آنچه كه مي انديشي مهم است.",اسپنسر جانسون
پیروزی," از كاميابي ديگران به همان اندازه شادمان شويد كه از كامروايي خود، احساس شادماني مي كنيد.",آنتوني رابينز
تجربه," بهترين تجربه هاي سازنده، همان برداشت هاي روزانه ي ما از زندگي است.",فردریش نیتزش
تجربه," تجربه، بهترين آموزگار است؛ البته با اين شرط كه ما هم دانش آموزان خوبي باشيم.",پیتر مک ویلیام
تجربه," باورهاي شما، تجربه هايتان را به وجود مي آورند؛ به هر چيزي كه آگاهانه يا ناخودآگاه باور داشته باشيد، همان را در زندگي به دست خواهيد آورد.",كارول تاتل
تجربه," ما از تجربه هايمان چيزي سر در نمي آوريم و چشم براه مي مانيم تا ديگران به ما بگويند، چيزهايي كه تجربه كرديم چه معني  و ارزشي دارند.",بيل هريس
تجربه," اجازه دهيد احساسي كه هر روز مي خواهيد تجربه كنيد، از فهرست كارهايي كه مي خواهيد انجام دهيد مهم تر باشد.",یاني منيييتس
تجربه," انسان چنان آفريده شده كه مي تواند اگر بخواهد و اراده كند، بدترين تجربه ها را از ياد ببرد.",شري كارتر اسكات
تجربه," هرچه تجارب زندگي ما بيشتر و كيفيت آنها بالاتر باشد، ميزان حق گزينش ما بيشتر مي شود و بهتر مي توانيم معناي  هر چيز را دريابيم و توان خود را براي انجام هر كار بسنجيم.",آنتوني رابينز
تجربه," هر انساني، تجربه هاي ويژه ي خودش را دارد و همين تجربه ها، منش و نحوه ي واكنش انسان ها را در شرايط گوناگون تعيين مي كند.",ميشل سي اوستازسكي
تجربه, آن كه از نوع من است با تجربه هاي نوع من رويارو مي شود.,نیچه
تجربه," تجربه هاي زندگي به ما چيزي نمي آموزد، همان گونه كه تاريخ هم ما را از چيزي آگاه نمي كند. تجربه ي حقيقي زماني به دست مي آيد كه ارتباط با واقعيت را محدود كنيم و كاهش ارتباط را نيرو بخشيم.",فرناندو پسوا
تجربه," در هر تجربه اي، نكته اي ارزشمند مي توانم پيدا كنم و اگر از هر تجربه، نكته اي و نظريه اي را دريابم، در آن صورت، پيوسته رشد خواهم كرد.",آنتوني رابينز
تجربه," همه ي تجربه هاي انساني، داراي ارزش هستند، ولي گاهي سال ها زمان مي برد تا به ارزش آنها پي ببريم.",آنتوني رابينز
تجربه," تا مي توانيد از تجربه هاي ديگران بهره مند شويد و آنچه را كه مي آموزيد، به كار گيريد.",آنتوني رابينز
تجربه," تجربه نشان مي دهد كه كاميابي، بيشتر به اراده، بستگي دارد تا به شايستگي.",چارلز پاکستن
تجربه," هنر، چيزي جز بيان تجربه ي آدمي نيست و درك كردن و لذت بردن از هنر، همانا توانايي تماشاگر در مرتبط ساختن اثر هنري با ذخيره ي تجربه هاي بر هم انباشته شده ي شخصي او است.",اریک نیوتون
تجربه," همه ي تجربه هاي بشري را مي توان با زبان عشق يا نفرت به بيان درآورد. عشق، عامل سازنده و نفرت، عامل خراب كننده است؛ وجود هر دو آنها لازم است.",اریک نیوتون
تجربه," تجربه ي خالص وجود خارجي ندارد. ممكن است تجربه ي اصلي يا مركزي وجود داشته باشد، اما هميشه شماري تجربه هاي فرعي در بر دارد كه اثر آن را تشديد مي كنند يا كاهش مي دهند.",اریک نیوتون
تجربه, تنها تجربه است كه مي تواند زهداني را كه در آن اثري هنري نطفه بندي شده است بارور سازد.,اریک نیوتون
تجربه," مهم اين است كه موقعيت هاي دردناك را تجربه كني و از آنها درس بگيري، نه اينكه بكوشي با چيز ديگري ذهن ات را از آن موقعيت ها دور كني.",اسپنسر جانسون
تجربه, تجربه و آزمون عبارت است از پيگيري روش منظم انديشه ها و باورهاي ما بر حسب تجربه و آزمايش در اعمال.,كلود برنارد
تجربه," با سالخوردگان و افراد با تجربه مشورت كنيد كه چشمهايشان، چهره سالها را ديده و گوشهايشان، نواي زندگي را شنيده است.",جبران خليل جبران
تجربه, فايده تجربه اين است كه انتخاب را آسان مي كند.,ويليام شايرد
تجربه, تجربه ها بررسي هاي من همه نمايانگر اين است كه محدوديت هاي وجود ما (چه مثبت و چه منفي) بسيار كمتر از آن چيزي است كه به ما باورانده اند.,آنتوني رابينز
تجربه, تجربه هاي گذشته ي من بهترين مربيان من هستند.,اسپنسر جانسون
تصمیم," حتي تصميم درست اگر خيلي دير گرفته شود، غلط از آب در مي آيد.",کرایسلر
تصمیم," كساني كه بيش از اندازه فكر مي كنند، تهي از اراده و تصميم اند.",ناپلئون بناپارت
تصمیم, تصميمات ما هستند كه سرنوشت ما را تعيين مي كنند.,آنتوني رابينز
تصمیم, تصميم گرفتن آسان است ولي نگهداري آن بسيار دشوار است.,دوماير
تصمیم," انسان در همان لحظه كه تصميم مي گيرد آزاد باشد، آزاد است.",فرانسوا ولتر
تصمیم," برنامه ريزي بلند مدت ارتباطي به تصميمات آينده ندارد، بلكه به آينده ي تصميمات كنوني مربوط مي شود.",پیتر دراکر
تصمیم, اين ترس از انتخاب است كه قدرت تصميم گيري را از ما مي گيرد و باعث نوعي ناتواني در تصميم گيري مي شود.,اسپنسر جانسون
تصمیم," هيچ وسيله اي براي تشخيص تصميم درست وجود ندارد، زيرا هيچ مقايسه اي امكان پذير نيست.",ميلان كوندرا
تصمیم," هيچ چيز بيشتر از رهبري كه از تصميم گيري عاجز است، نمي تواند يك تيم را دلسرد كند.",جان ماكسول
تصمیم, مردم به همان اندازه احساس خوشبختي مي كنند كه تصميم گرفته اند خوشبخت باشند.,ليزكلن
تصمیم," به ياد داشته باش كه براي موفقيت، بيش از هر چيز به اراده و تصميم نياز داري.",آبراهام لینکلن
تصمیم, در زمانهاي تصميم گيري است كه سرنوشت ما رقم زده مي شود.,آنتوني رابينز
تصمیم," انسان تا زماني كه تصميم مي گيرد شاد باشد، شاد خواهد بود و هيچ چيز نمي تواند او را باز دارد.",لكساندر سلژنيتسين
تصمیم, هرگاه گرفتن تصميم مهمي را دشوار يافتيد بدانيد كه علتش تنها يك چيز است و آن اينكه تصور روشني از ارزشهاي خود نداريد.,آنتوني رابينز
تصمیم," اگر قرار باشد كه هرگز تصميم گيري نكنيد، چگونه مي توانيد در آينده به تصميمات بهتري برسيد؟.",پرمود بتر
تصمیم, انسان همان جايي است كه تصميم مي گيرد باشد.,سارتو
تصمیم," از تمام صفاتي كه براي پرورش جسم و جان شما سودمند است، هيچ يك به سودمندي تصميم و اراده نيست.",پوشه
تصمیم," درباره طول مدت عمرمان كاري از ما ساخته نيست، اما مي توانيم درباره نحوه گذراندن آن تصميم بگيريم.",جان ماكسول
تصمیم," ما تنها به وسيله گرفتن تصميم قادر به تغيير احساسات خود نيستيم، بلكه اگر در عين حال كه تصميم مي گيريم قادر به دگرگون كردن اعمال خود باشيم، نتيجه خواهيم گرفت.",ويليام جيمز
تصمیم," وقتي كه تصميمي گرفته شد و بدون معطلي به مرحله اجرا درآمد، به طور كلي نگراني و استرس نسبت به نتيجه و سرانجام كار از بين مي رود.",ويليام جيمز
تصمیم," اگر روزي تصميم بگيريم گوش را حتما بر بهترين استدلالها ببنديم، نشانه اي از شخصيتي قوي را در وجود خويش داريم، يعني خواست گاه و بي گاه حماقت.",نيچه
تصمیم," تصميمات من، باورهاي مرا آشكار مي سازند.",اسپنسر جانسون
تصمیم," ما غالباً تصميمات نادرستي مي گيريم، چون در ابتدا چند پرسش ساده را از خود نمي پرسيم.",اسپنسر جانسون
تصمیم," زندگي ما با تصميم هايي شكل مي گيرد كه ما در وقت مناسب خودشان، آنها را مهم نمي دانيم.",اسپنسر جانسون
تصمیم," هر كاري كه تصميم آن را بگيريد، نصفش را انجام داده ايد.",آبراهام لینکلن
تصمیم," تصميم بگيريد كه كاري را انجام دهيد، آنگاه راه انجام آن را خواهيد يافت.",آبراهام لینکلن
تصمیم," اول مشورت، دوم تصميم و سوم انتخاب، سه ركن موفقيت هستند.",لوپ دووكا
تصمیم," اينكه چه كسي باشيد و در چه موقعيتي قرار داشته باشيد، بر عهده شما و نتيجه انتخابها و تصميم گيري هاي خودتان است.",برايان تريسي
تصمیم," نقطه شروع تصميم هاي بهتر، نقطه پايان تصميم هاي بدتر است.",برايان تريسي
تصمیم," كمك گرفتن از ديگران در امر تصميم گيري، كاري بي فايده و غير عقلاني است.",اسمايلز
تصمیم," اگر تصميمي داشته باشيد، به زودي موفق خواهيد شد؛ زيرا آدمي ساخته افكار خويش است و فردا همان خواهد شد كه امروز  به آن  مي انديشيده است.",موريس مترلينگ
تصمیم, هيچ چيز دشوارتر از تصميم گيري نيست.,ناپلئون بناپارت
تصمیم," آنچه سرنوشت ما را مشخص مي كند، شرايط زندگي نيست، بلكه تصميم هاي ما است.",آنتوني رابينز
تغییر و دگرگونی," هنگامي كه شما مي خواهيد موقعيت پيشين خود را پاس داريد، هيچ معجزه ي جديدي براي دگرگوني موقعيت تان رخ نمي دهد.",گيل ليندن فيلد
تغییر و دگرگونی," تنها با دگرگوني ديدگاه تان خواهيد ديد كه تا چه اندازه وضعيت زندگي تان دگرگون مي شود؛ از اين دگرگوني، شگفت زده خواهيد شد.",اوا گرگري
تغییر و دگرگونی," ما مي توانيم با دگرگوني دنياي درون مان، دنياي بيرون را هم دگرگون كنيم.",جان هريكران
تغییر و دگرگونی," اگر چيزهايي را كه داريد، دوست نداريد، باورهايتان را دگرگون سازيد.",كارول تاتل
تغییر و دگرگونی," دگرگوني، هميشه آسان نيست.",شري كارتر اسكات
تغییر و دگرگونی," اگر به راستي مي خواهيم دگرگون شويم، بايد دگرگوني را برگزينيم و به انجام دگرگوني، پايبند باشيم.",شري كارتر اسكات
تغییر و دگرگونی," دگرگون كردن هيچ چيز آسان نيست و به هنگام گذر از اين فرايند، بايد با خودتان مهربان و شكيبا باشيد.",شري كارتر اسكات
تغییر و دگرگونی," رو به پيشرفت، يعني دگرگوني، رو به تكامل، يعني دگرگوني هاي بسيار.",وينستون چرچيل
تغییر و دگرگونی," الگوها با گذشت زمان دگرگون مي شوند، شما هم بايستي دگرگون شويد.",شري كارتر اسكات
تغییر و دگرگونی," پذيرش دگرگوني، به شما اين اجازه را مي دهد كه به جاي كوركورانه رد شدن، آماده ي هر پيچ و خمي باشيد كه زندگي برايتان پيش مي آورد.",شري كارتر اسكات
تغییر و دگرگونی, زماني به روشني مي بينيد كه بتوانيد چشم انداز خود را دگرگون كنيد و شرايط را در روشنايي تازه اي ببينيد.,شري كارتر اسكات
تغییر و دگرگونی," آگاهي، نخستين گام براي فراهم آوردن زمينه ي دگرگوني هايي است كه آرزو داريد در خودتان به وجود آوريد.",شري كارتر اسكات
تغییر و دگرگونی," زندگي، پديده اي دگرگون شونده است، از اين رو، قوانين ما بايد به گونه اي باشد كه به ما اجازه ي سازگاري، رشد و لذت را بدهد.",آنتوني رابينز
تغییر و دگرگونی," اگر مي خواهيد در زندگي تان دگرگوني ايجاد كنيد، بخشش به ديگران را بخشي از برنامه ي رشد فردي تان قرار دهيد.",راجر كار
تغییر و دگرگونی, خوش باشيد و خودتان باشيد؛ همين كارتان همه چيز را دگرگون خواهد كرد.,لورا لَلُن
تغییر و دگرگونی," دگرگوني زندگي، نيازمند زمان و انرژي است و درك اين مسئله كه  در سرمايه گذاري زندگي تان اشتباه كرده ايد يا نه ، بر دوش خودتان است.",گيل ليندن فيلد
تغییر و دگرگونی," دوره ي دگرگوني، دوره ي ترس و دوره ي كسب فرصت است. اينكه كدام يك بهره ي شما مي شود، بستگي به گرايش شما دارد. ارنست سي.",ويلسون
تغییر و دگرگونی," هيچ گاه براي يادگيري، آرزو كردن يا دگرگوني دير نيست.",زيگ زيگلار
تغییر و دگرگونی," نگران چيزي نباشيد كه نمي توانيد آن را تغيير دهيد، در برابر، انرژي خود را در موارد مثبت و سازنده بكار بريد.",زيگ زيگلار
تغییر و دگرگونی," بايد دگرگوني ها را دوست بداريم، زيرا دگرگوني، تنها چيزي است كه قطعيت دارد.",آنتوني رابينز
تغییر و دگرگونی," سپاس گذاري و حق شناسي يك نفر، ممكن است زندگي انساني ديگر را براي هميشه دگرگون سازد.",آنتوني رابينز
تغییر و دگرگونی," با دگرگوني باورها، ارزشها، قوانين و هويت، مي توان همه ي رفتارها را دگرگون نمود.",آنتوني رابينز
